"","Subtype","Provider","Name","Town","Council","Clients","Grades published","Setting","Staffing","Leadership","Care and play","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"39","Over 3s","Voluntary or Not for Profit","Auchnagatt & District Pre-School Centre","Aberdeenshire","Aberdeenshire","Children","09/08/2023",4,4,4,4,"28/06/2023","2002_4",0,0
"40","Under 3s","Voluntary or Not for Profit","Auchterless Pre-school Playgroup","Turriff","Aberdeenshire","Children","21/09/2023",4,4,4,4,"30/08/2023","2002_4",0,0
"41","Under 3s","Voluntary or Not for Profit","Crudie Playgroup","Turriff","Aberdeenshire","Children","05/08/2021",4,4,4,4,"18/06/2021","2002_4",0,0
"42","Under 3s","Voluntary or Not for Profit","Gardenstown Playschool","Banff","Aberdeenshire","Children","13/11/2023",3,4,4,4,"05/10/2023","2002_4",0,0
"43","Over 3s","Voluntary or Not for Profit","Hatton Playgroup","Peterhead","Aberdeenshire","Children","19/02/2024",4,4,4,4,"09/02/2024","2002_4",0,0
"44","Under 3s","Voluntary or Not for Profit","Auld Kirk Nursery","Fraserburgh","Aberdeenshire","Children","23/05/2023",4,5,5,4,"20/04/2023","2002_4",0,0
"45","Over 3s","Local Authority","Oscars - Mintlaw Out of School Club","Peterhead","Aberdeenshire","Children","07/01/2022",4,4,4,4,"25/11/2021","2002_4",0,0
"46","Over 3s","Private","Scoobys After School Club","Banff","Aberdeenshire","Children","03/07/2023",4,4,4,4,"31/05/2023","2002_4",0,0
"47","Under 3s","Voluntary or Not for Profit","St. Kanes Early Learning and Childcare Centre","New Deer","Aberdeenshire","Children","25/01/2022",4,4,4,4,"30/11/2021","2002_4",0,0
"48","Under 3s","Voluntary or Not for Profit","Strichen Playgroup","Fraserburgh","Aberdeenshire","Children","29/10/2019",5,5,5,5,"16/09/2019","2002_4",0,0
"49","Under 3s","Voluntary or Not for Profit","Stuartfield Preschool Group","Peterhead","Aberdeenshire","Children","14/03/2024",4,5,4,4,"07/02/2024","2002_4",0,0
"50","Under 3s","Voluntary or Not for Profit","Turriff Playgroup Ltd","Turriff","Aberdeenshire","Children","14/11/2019",4,4,5,5,"20/09/2019","2002_4",0,0
"51","Over 3s","Local Authority","Balmedie Out of School Club","Aberdeen","Aberdeenshire","Children","22/12/2023",4,5,4,4,"12/12/2023","2002_4",0,0
"52","Under 3s","Voluntary or Not for Profit","Denman Pre-school","Westhill","Aberdeenshire","Children","08/12/2022",4,4,4,4,"03/11/2022","2002_4",0,0
"53","Over 3s","Local Authority","Ellon Out Of School Club","Ellon","Aberdeenshire","Children","03/09/2018",4,4,4,5,"17/07/2018","2002_4",0,0
"54","Under 3s","Voluntary or Not for Profit","Gordon Park Early Learning and Childcare","Ellon","Aberdeenshire","Children","06/11/2018",4,4,5,5,"04/10/2018","2002_4",0,0
"55","Over 3s","Voluntary or Not for Profit","Inverurie Out Of School Club","Inverurie","Aberdeenshire","Children","27/01/2023",5,5,5,4,"08/12/2022","2002_4",0,0
"56","Over 3s","Voluntary or Not for Profit","Kemnay Breakfast and After School Club","Inverurie","Aberdeenshire","Children","12/12/2023",4,4,3,4,"02/11/2023","2002_4",0,0
"57","Under 3s","Voluntary or Not for Profit","Kiddiwinks Playgroup","Kemnay","Aberdeenshire","Children","27/09/2023",4,4,3,4,"29/08/2023","2002_4",0,0
"58","Over 3s","Voluntary or Not for Profit","Meldrum After School Klub (mask)","Inverurie","Aberdeenshire","Children","23/05/2023",4,4,4,4,"05/05/2023","2002_4",0,0
"59","Under 3s","Voluntary or Not for Profit","Monymusk Playgroup","Inverurie","Aberdeenshire","Children","13/07/2022",5,5,5,5,"11/05/2022","2002_4",0,0
"60","Under 3s","Voluntary or Not for Profit","Newburgh Preschool","Ellon","Aberdeenshire","Children","02/07/2018",4,5,4,5,"25/05/2018","2002_4",0,0
"61","Over 3s","Private","Newmachar After School Club","Aberdeen","Aberdeenshire","Children","05/03/2024",4,3,2,3,"05/02/2024","2002_4",0,0
"62","Under 3s","Voluntary or Not for Profit","Old Rayne Preschool","Insch","Aberdeenshire","Children","05/05/2020",4,4,4,4,"27/02/2020","2002_4",0,0
"63","Under 3s","Voluntary or Not for Profit","Scout Hall Playgroup","Westhill","Aberdeenshire","Children","30/04/2024",4,5,4,4,"19/03/2024","2002_4",0,0
"64","Over 3s","Voluntary or Not for Profit","St. Andrews Church Playgroup","Inverurie","Aberdeenshire","Children","15/11/2019",5,5,4,5,"04/09/2019","2002_4",0,0
"65","Under 3s","Voluntary or Not for Profit","Strathburn Park Playgroup","Inverurie","Aberdeenshire","Children","21/12/2022",4,4,4,4,"21/11/2022","2002_4",0,0
"66","Under 3s","Voluntary or Not for Profit","Udny Station Pre-School Playgroup","Ellon","Aberdeenshire","Children","03/10/2023",4,4,4,4,"01/09/2023","2002_4",0,0
"67","Over 3s","Local Authority","Westhill Kidz Klub","Westhill","Aberdeenshire","Children","09/11/2021",4,5,4,4,"26/10/2021","2002_4",0,0
"68","Over 3s","Voluntary or Not for Profit","Angus Special Playscheme - Coastal","Arbroath","Angus","Children","30/11/2018",4,5,4,5,"08/10/2018","2002_4",0,0
"69","Over 3s","Voluntary or Not for Profit","Angus Special Playscheme 121","Arbroath","Angus","Children","23/08/2019",5,5,5,5,"16/07/2019","2002_4",0,0
"70","Over 3s","Voluntary or Not for Profit","Carlogie Fun Club","Carnoustie","Angus","Children","06/06/2023",5,5,4,5,"17/05/2023","2002_4",0,0
"71","Under 3s","Voluntary or Not for Profit","Charleston Pre School Playgroup","Forfar","Angus","Children","23/05/2023",5,5,5,5,"18/04/2023","2002_4",0,0
"72","Under 3s","Voluntary or Not for Profit","Chimes Playgroup","Forfar","Angus","Children","16/04/2024",4,4,4,4,"06/03/2024","2002_4",0,0
"73","Under 3s","Private","Ferryden Playgroup","Montrose","Angus","Children","24/05/2024",5,5,5,5,"01/05/2024","2002_4",0,0
"74","Under 3s","Voluntary or Not for Profit","Friockheim & Kinnell Playgroup","Arbroath","Angus","Children","27/06/2023",4,4,4,4,"20/06/2023","2002_4",0,0
"75","Under 3s","Voluntary or Not for Profit","Grange Pre-School Playgroup","Dundee","Angus","Children","10/03/2023",4,5,4,4,"09/02/2023","2002_4",0,0
"76","Over 3s","Voluntary or Not for Profit","Inverbrothock Out Of School Care Club","Arbroath","Angus","Children","04/12/2023",4,5,5,4,"26/10/2023","2002_4",0,0
